"id","nom","ingredients"
135012,Pâté mexicain agneau,"agneau,eau,relish,sauce chili,ketchup,oignon,piment.pâte:farine,eau,graisse végétale ou animale,sucre,sel,propionate de calcium,oeuf."
137003,Bambou tranché biologique,bambou
166009,Rillette de canard,"canard entier, gras de canard, sel, poivre"
181007,Sac officiel du Marché,""
183029,Boeuf haché maigre,boeuf
184012,Certificat-cadeau,certificat-cadeau
191011,Lait 1 litre (contenant verre inclus dans le prix),lait de chèvre pasteurisé
193010,Don pour la Sécurité alimentaire,don pour la sécurité alimentaire
193025,Cubes à bouillir d'agneau,cubes d'agneau
193030,SAUCISSE A LA BIÈRE (agneau),"agneau,eau,bière,chapelure de blé griilé,sel,tapioca,sucre,épices,acide ascorbique,ail."
194005,Savon/ BOIS DE ROSE ET NOIX DE COCO,"huile d'olive, huile de coco, gras végétal, hydroxide de sodium. infusion de pétales de roses, pétales de rose séchées du jardin, noix de coco rapée biologique, huile sessentielle de bois de rose."
194018,SAUCISSE MERGUEZ  (agneau),"agneau,eau,huile,sel,sucre,chlorure de podasium,erythorbate."
194022,TOURTIÈRE AGNEAU ,"agneau,pomme de terre,eau,oignon,sel,épices,poivre.pâte:farine blanche enrichie,shortening d'huile végétale,eau,sucre,sel,propiomate de calcium."
196027,TERRINE D'agneau PORTO CANNEBERGES,"agneau,lait,oignon,épices,sel,ail,sucre,erythorbate,porto,canneberges,nitrite."
198013,Savon/ LAVANDE ET CITRON,"huile d'olive, de coco, gras végétal, infusion de lavande, hydroxide de sodium, zeste frais de citron bio, fleurs de lavande du jardin, huiles essentiel biologique de lavande de citron et d'orange."
198022,Savon/ CALENDULE ET CAMOMILLE,"huile d'olive, de coco,graisse végétale, infusion de calendule et camomille du jardin,fleur séchées de calendules et de camomilles, cire d'abeille, huiles essentielles de verge d'or,paprika en poudre"
200002,Viande hachée - agneau,agneau haché
200003,Lanières d'agneau,agneau
200006,SAUCISSE FINES HERBES  (agneau),"agneau,eau,sel,substance laitière,chapelure de blé,oignon,épices,sure."
201005,Carré d'agneau,carré d'agneau
201006,Jarrets d'agneau (2),jarrets agneau
201007,Rôti d'épaule d'agneau désossé,agneau
203001,Fondue chinoise agneau,agneau
206004,Chair à saucisse à la bière  (agneau),"agneau,eau,bière,chapelure de blé,grillé,sel,amidon,de tapioca,sucre,épices,acide ascorbique,ail."
207002,Chair à saucisse merguez (agneau),"agneau,eau,huile,sel,sucre,épices,chlorure de potasium,erythorbate."
209003,Chair à saucisse fines herbes  (agneau),"agneau,eau,chapelure de blé grillée,substances laitières modifiées,oignon,épices,sucre,glutamate monosodique."
214015,Jus de canneberges sans sucre ajouté,"un jus à base de canneberges, eau et acide ascorbique."
214020,Jus de cassis sucré ,"un jus à base de cassis, eau, sucre brun de canne."
214024,Fondue chinoise d'autruche,autruche
214028,Shampooing à base d'huile d'autruche,"aqua, ostrich oil, cocos nucifera (coconut) oil, ricinus communis (castor) seed oil, potassium hydroxyde, cocamidopropyl betaine, decyl polyglucoside, sodium hydroxyde, imidazolium quat, peg-150 distearate, glycol stearate, d-panthenol, strearamide amp, propylparaben, methylparaben..."
214031,Baume à lèvres (lipsil) aux fraises,"ostrich oil, microcrystalline wax, ozokerite wax, lanolin alcohol, vitamine e acetate, phenoxyethanol, aromatics, vitamine e tocopherol."
214035,Tartinade de Sureau,"sureau cultivé, eau, sucre brun de canne, agar-agar et acide ascorbique"
214038,Gigot d'agneau désossé,gigot agneau
214041,Pain aux raisins (tranché en sac plastique),"farine tamisée, levain (eau, farine intégrale), raisins sultans, eau, lait, beurre, oeufs, miel, sel de mer, cannelle."
215045,Jus de sureau sucré,"un jus à base de sureau kent et york, eau, sucre brun de canne et acide ascorbique."
215046,Tisane de thé du Labrador ,feuilles de thé du labrador séchées.
215047,Tartinade de Mûres  (agar),"mûres sauvages, eau, sucre brun de canne, agar-agar et acide ascorbique"
215056, Gigot d'agneau avec os,gigot agneau
215060,Pain aux raisins (sac papier),"farine tamisée, levain (eau, farine intégrale), raisins sultans, eau, lait, beurre, oeufs, miel, sel de mer, cannelle."
215061,Fougasse aux olives noires et fines herbes (sac papier),"farine blanche non blanchie, levain (eau, farine intégrale) olives noires, farine tamisée, huile de tournesol, sel de mer, herbes de provence."
216019,Jus d'Argousier sucré,"un jus à base d'argousier, eau et sucre brun de canne."
216034,Saucisses d'autruche douce,"autruche,porc,eau,chapelure de blé grillé,sel,sucre,épices,bioxyde de silicium,agent de conditionnement,polysorbate 80,huile végétale(canola)."
216036,Smoked meat d'autruche," autruche, sel, sucre brun, phosphate de sodium, sucre, épices, érythorbate de sodium, ail, nitrite de sodium, dextrose, gélatine, huile végétale."
216038,Rôti de ronde,autruche
216042,Baume à lèvres (lipsil) à l'orange,"ostrich oil, microcrystalline wax, ozokerite wax, lanolin alcohol, vitamine e acetate, phenoxyethanol, fragrance oil, vitamine e tocopherol."
216056,Pain baguette biologique (en sac papier),"farine blanche non blanchie bio, eau, levain de blé bio, sel de mer"
216058,Pain belge blanc biologique (tranché en sac plastique),"farine blanche non blanchie biologique, levain biologique, sel de mer."
216059,Pain carré blanc (tranché en sac plastique),"farine blanche non blanchie, levain, sel de mer."
216064,Paninis biologiques (paquet de 4 en sac plastique),"farine blanche non blanchie biologique, levain biologique (eau, farine intégrale), farine tamisée biologique, huile de tournesol biologique, sel de mer."
217028,Bifteak d'autruche,autruche
217030,Foie d'autruche,foie d'autruche
217033,Rôti Sot-l'y-laisse ,autruche
217035,Savon liquide pour mains et corps.,"aqua,ostrich oil, cocos nucifera (coconut) oil, potassium hydroxyde, brassica napus (canola) oil, sodium hydroxyde, fragrance."
217039,Miel de fleurs de Trèfles,miel
217054,Pain belge blanc biologique (sac papier),"farine blanche non blanchie biologique, levain biologique, sel de mer. "
217055,Pain de blé aux graines de sésame biologique (sac papier),"farine de blé intégral biologique, levain biologique(eau, farine intégrale), graines de sésame.sel de mer."
217059,Bagels au sésame à 87% bio (paquet de 6 en sac plastique),"farine blanche non blanchie biologique, eau, levain biologique (eau, farine intégrale), miel, huile de tournesol biologique, farine de malt, oeufs."
218026,Jus de canneberges sucré,"un jus à base de canneberges, eau, sucre brun de canne et acide ascorbique"
218040,Bifteak Sot-l'y-laisse,autruche
218042,Cubes à brochette ou à fondue(filet mignon),autruche
218046,Savon (huile d'autruche et lait de chèvre) naturel," huile d’autruche, huile de canola, lait de chèvre, huile d’olive, eau distillée, hydroxyde de sodium."
218049,Crème hydratante pour mains et corps,"aqua, ostrich oil, glycerin, cetyl alcohol, stearic acid, cetearyl alcohol, polysorbate 20, peg 150, steareth-20, xanthan gum, propylene glycol, diazolidinyl urea, iodopropynyl butylcarbamate, fragrance."
218051,Crème de protection solaire ,"aqua, ostrich oil, octyl methoxycinnamate, glycerin, titanium oxyde, tocopheryl acetate, cetyl alcohol, stearic acid, cetearyl alcohol, polysorbate 20, peg-150, steareth-20, xanthan gum, ascorbic acid, allantoin, tetrasodium edta, propylene glycol, diazolidinyl urea, iodopropynyl butylcarbamate.."
218062,"Pain de blé aux graines de sésame bio (tranché, sac plast.) ","farine de blé intégral biologique, levain biologique(eau, farine intégrale), graines de sésame.sel de mer."
218063,Pain miche multi-grains biologique (sac papier),"farine de blé intégral biologique, levain biologique(eau, farine intégrale), mélange de 9 grains concassés, sel de mer."
219026,Foie gras d'autruche,foie gras d'autruche 
219028,Autruche hachée,autruche
219031,Cubes bourguignon,autruche
219033,Huile d'autruche camphrée,"huile d'autruche, huile de lin biologique, camphre"
219037,Savon (huile d'autruche et lait de chèvre) aromatisé," huile d’autruche, huile de canola, lait de chèvre, huile d’olive, eau distillée, hydroxyde de sodium, arome. "
219054,Pain d'épeautre et graines de lin biologique (sac papier),"farine d'épeautre biologique, eau, levain biologique (eau, farine de seigle intégral), graines de lin biologiques, graines de sésames biologique, sel de mer. "
219055,"Pain d'épeautre et graines de lin bio (tranché, sac plast.)","farine d'épeautre biologique, eau, levain biologique (eau, farine de seigle intégral), graines de lin biologiques, graines de sésames biologique, sel de mer."
219059,"Pain aux noix de Grenoble à 80% bio (tranché, sac plast.) ","farine de blé tamisée bio, eau, levain de seigle bio, noix de grenoble, sel de mer"
220013,Jus d'Argousier sans sucre (sac glaçon),un jus à base d'argousier et d'eau.
220014,Médaillon d'autruche (filet mignon),autruche
220024,Jus de Pimbina sucré,"un jus à base de pimbina, eau, sucre brun de canne et acide ascorbique"
220026,Cubes brochette/raclette marinés (tomate et basilic),"autruche,sel,légumes deshydratés,épices irradiées,fécule de pomme de terre modifiée,sucre,acide citrique,saveur artificielle,gomme guard,agent de conditionnement: bioxidede silicium,huile végétale."
220043,"Pain miche multi-grains biologique (tranché, sac plastique)","farine de blé intégral biologique, levain biologique(eau, farine intégrale), mélange de 9 grains concassés, sel de mer."
221021,Tournedos d'autruche enrobé de bacon,"autruche, bacon."
221026,Autruche fumée à froid,"autruche, sel, poivre"
221029,Huile d'autruche naturelle,"huile d'autruche, huile de lin biologique."
221031,OEUF D'AUTRUCHE DÉCORATIF (VIDE),oeuf
221051,Pain aux noix de Grenoble à 80% biologique (sac papier) ,"farine de blé tamisée bio, eau, levain de seigle bio, noix de grenoble, sel de mer"
227002,Cuisse de canard,cuisse de canard
241003,Concombre anglais no 1,emballé
241011,"Saucisses gibier, Sans Gluten","wapiti, porc, eau, fécule de tapioca, sel, épice, acide ascorbique, moutarde "
241025,Foie de wapiti,foie
241028,Wapiti haché,wapiti
241032,Wapiti fumé,"wapiti, eau, sel, glucose, phosphate de sodium, erythorbate, nitrite, bicarbonate, épice "
241035,Foie gras cru entier,foie gras
241036,Foie gras cuit en verrine ,"foie gras, sel, poivre"
241040,Caramel à l'érable,"sirop d'érable, glucose, lait condensé sucré"
241043,Tartinade de Sapin baumier,"décoction de bourgeons et rameaux de sapin, eau, sucre brun de canne, agar-agar et acide citrique."
241046,Tisane de rameaux de Prêle des champs ,rameaux de prêle des champs  séchés
241056,Fèves au foie gras,"haricots, bouillon de canard, foie gras de canard,  sirop d'érable, mélasse, oignon, ail,feuille de laurier"
241059,Tarte aux fraises (cuite),"fraises, sirop d'érable, sucre, eau, amidon. croute: farine de blé enrichie, graisse végétale, eau, vinaigre, sel, oeuf et lait. "
